year,month,day,month_2,day_2,year_month,year_month_day,Date,Open,High,Low,Close,Adj Close,Volume,open_return,close_return,average_return,sentiment,sentiment_1,sentiment_2,sentiment_3,sentiment_4,sentiment_5,sentiment_6,sentiment_7,sentiment_8,sentiment_9,sentiment_10,sentiment_11,baseline_close_return,baseline_open_return,,,
2022,1,2,1,2,202201,20220102,2/1/2022,47680.92578,47881.40625,40672.27734,41733.94141,41733.94141,2.83E+11,-0.054488141,-0.124832648,-0.089660394,-0.028722297,0.019517613,0.070755808,0.020295245,0.02437033,0.044854969,0.004835437,0.003005958,0.023820101,0.05051307,-0.018179054,0.047197322,-0.018019121,-0.021607306,,,
2022,1,9,1,9,202201,20220109,9/1/2022,41734.72656,44278.42188,39796.57031,43177.39844,43177.39844,2.03E+11,-0.124708133,0.034587125,-0.045060504,0.026101352,-0.028722297,0.019517613,0.070755808,0.020295245,0.02437033,0.044854969,0.004835437,0.003005958,0.023820101,0.05051307,-0.018179054,-0.018019121,-0.021607306,,,
2022,1,16,1,16,202201,20220116,16/1/2022,43172.03906,43436.80859,34349.25,35030.25,35030.25,1.88E+11,0.034439246,-0.188690119,-0.077125437,-0.025924388,0.026101352,-0.028722297,0.019517613,0.070755808,0.020295245,0.02437033,0.044854969,0.004835437,0.003005958,0.023820101,0.05051307,-0.018019121,-0.021607306,,,
2022,1,23,1,23,202201,20220123,23/1/2022,35047.35938,38825.41016,33184.05859,38138.17969,38138.17969,1.90E+11,-0.188193096,0.088721311,-0.049735893,0.013695281,-0.025924388,0.026101352,-0.028722297,0.019517613,0.070755808,0.020295245,0.02437033,0.044854969,0.004835437,0.003005958,0.023820101,-0.018019121,-0.021607306,,,
2022,1,30,1,30,202201,20220130,30/1/2022,38151.91797,41847.16406,36375.53906,41441.16406,41441.16406,1.42E+11,0.088581812,0.086605716,0.087593764,0.033854628,0.013695281,-0.025924388,0.026101352,-0.028722297,0.019517613,0.070755808,0.020295245,0.02437033,0.044854969,0.004835437,0.003005958,-0.018019121,-0.021607306,,,
2022,2,6,2,6,202202,20220206,6/2/2022,41441.12109,45661.17188,41244.90625,42244.46875,42244.46875,1.78E+11,0.08621331,0.019384221,0.052798765,0.052138677,0.033854628,0.013695281,-0.025924388,0.026101352,-0.028722297,0.019517613,0.070755808,0.020295245,0.02437033,0.044854969,0.004835437,-0.018019121,-0.021607306,,,
2022,2,13,2,13,202202,20220213,13/2/2022,42236.56641,44667.21875,39637.61719,40122.15625,40122.15625,1.41E+11,0.01919459,-0.050238826,-0.015522118,0.071118996,0.052138677,0.033854628,0.013695281,-0.025924388,0.026101352,-0.028722297,0.019517613,0.070755808,0.020295245,0.02437033,0.044854969,-0.018019121,-0.021607306,,,
2022,2,20,2,20,202202,20220220,20/2/2022,40118.10156,40119.89063,34459.21875,39105.14844,39105.14844,1.85E+11,-0.050157127,-0.025347786,-0.037752456,-0.014155201,0.071118996,0.052138677,0.033854628,0.013695281,-0.025924388,0.026101352,-0.028722297,0.019517613,0.070755808,0.020295245,0.02437033,-0.018019121,-0.021607306,,,
2022,2,27,2,27,202202,20220227,27/2/2022,39098.69922,45077.57813,37268.97656,39400.58594,39400.58594,1.91E+11,-0.025410034,0.007554952,-0.008927541,0.023140249,-0.014155201,0.071118996,0.052138677,0.033854628,0.013695281,-0.025924388,0.026101352,-0.028722297,0.019517613,0.070755808,0.020295245,-0.018019121,-0.021607306,,,
2022,3,6,3,6,202203,20220306,6/3/2022,39404.19922,42465.67188,37260.20313,38904.01172,38904.01172,1.78E+11,0.007813559,-0.012603219,-0.00239483,0.017408714,0.023140249,-0.014155201,0.071118996,0.052138677,0.033854628,0.013695281,-0.025924388,0.026101352,-0.028722297,0.019517613,0.070755808,-0.018019121,-0.021607306,,,
